2a0f:85c1:332::/48,UA,UA-32,Vyshneve,08134,/48
2a0f:85c1:335::/48,UA,UA-21,Berehove,90204,/48
2a06:de06:e660::/44,UA,UA-30,Kyiv,01001,/44
2a06:de06:e660::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e661::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e662::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e663::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e664::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e665::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e666::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e667::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e668::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e669::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e66a::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e66b::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e66c::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e66d::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e66e::/48,UA,UA-30,Kyiv,01001,/48
2a06:de06:e66f::/48,UA,UA-30,Kyiv,01001,/48
